ID;ФИО;ДатаРождения;Город;Телефон;Email;Образование;Комментарий
901;Иванов Роман Денисович;2006-06-07;Челябинск;+79127068293;ivan16018@yandex.ru;Среднее;Курьер
902;Петров Кирилл Никитич;1995-01-31;Пермь;+79824237839;core72070@gmail.com;Высшее;Менеджер по продажам
903;Семёнов Глеб Евгеньевич;1979-12-18;Волгоград;+79872831711;temp58329@rambler.ru;Высшее;Ищет работу по специальности
904;Макаров Кирилл Фёдорович;1987-08-10;Пермь;+79925901729;dima41796@yandex.ru;Неоконченное высшее;Менеджер по продажам
905;Григорьев Денис Артурович;1992-01-28;Тюмень;+79826659524;random75710@gmail.com;Высшее;Исследовательская деятельность
906;Попов Егор Антонович;1978-05-25;Челябинск;+79088675239;max42352@mail.ru;Высшее;Бариста
907;Романов Денис Глебович;2006-11-16;Самара;+79376594013;core69402@rambler.ru;Общее среднее;Финансовый аналитик
908;Никитин Александр Борисович;1984-04-20;Самара;+79374616849;dima12207@mail.ru;Магистратура;Сварщик
909;Михайлов Максим Тарасович;1983-10-22;Уфа;+79676903316;roma77062@mail.ru;Общее среднее;Опыт работы 2 года
910;Кузьмин Семён Глебович;1982-12-13;Уфа;+79606806628;nikita.kuznetsov@inbox.ru;Общее среднее;Юрист
911;Морозов Степан Устинович;2006-09-15;Воронеж;+79105441701;cloud49065@yandex.ru;Среднее;Бухгалтер
912;Ильин Роберт Никитич;1994-08-22;Самара;+79371776928;mail62505@rambler.ru;Общее среднее;Логист
913;Макаров Антон Маркович;1970-04-17;Новосибирск;+79196623259;client76809@yandex.ru;Профессиональное;Готов к переезду
914;Кузнецов Константин Романович;2005-06-20;Москва;+79162701253;work66981@yandex.ru;Среднее специальное;Фрилансер
915;Яковлев Пётр Петрович;1991-09-19;Краснодар;+79287459805;kirill85747@rambler.ru;Аспирантура;Готов к переезду
916;Соловьёв Роберт Юрьевич;1981-01-29;Уфа;+79373144478;support5758@gmail.com;Среднее;Бариста
917;Михайлов Пётр Глебович;1988-02-20;Саратов;+79679305877;nikita41423@yandex.ru;Неоконченное высшее;Бариста
918;Орлов Никита Борисович;1973-12-16;Нижний Новгород;+79955893391;roma80088@list.ru;Среднее специальное;Бухгалтер
919;Иванов Михаил Игоревич;1975-09-03;Уфа;+79676256994;kirill18665@yandex.ru;Высшее;Опыт работы 2 года
920;Романов Александр Игоревич;1986-10-20;Саратов;+79877855837;data52913@bk.ru;Среднее специальное;Системный администратор
921;Романов Пётр Георгиевич;2002-09-02;Пермь;+79821330380;pasha45091@bk.ru;Высшее;Исследовательская деятельность
922;Сергеев Евгений Антонович;1996-06-19;Красноярск;+79833478233;project66662@bk.ru;Профессиональное;Бухгалтер
923;Михайлов Евгений Львович;1989-06-21;Воронеж;+79305583003;kirill23202@yandex.ru;Профессиональное;Маркетолог
924;Морозов Кирилл Георгиевич;1984-03-15;Тольятти;+79371637656;client80409@list.ru;Среднее специальное;Финансовый аналитик
925;Сергеев Фёдор Юрьевич;1995-10-15;Саратов;+79678975954;sys53689@mail.ru;Аспирантура;Курьер
926;Васильев Роман Алексеевич;1990-06-27;Краснодар;+79617364598;zakharov.konstantin@rambler.ru;Магистратура;Дизайнер интерфейсов
927;Сидоров Тимофей Егорович;1974-07-19;Волгоград;+79677746259;dima80792@inbox.ru;Общее среднее;Готов к переезду
928;Смирнов Вадим Вадимович;1987-06-17;Екатеринбург;+79228545249;grigorevustin@bk.ru;Профессиональное;Юрист
929;Кузьмин Никита Олегович;1981-01-08;Уфа;+79873691051;stepanov_oleg@yandex.ru;Аспирантура;Разработчик ПО
930;Семёнов Ян Робертович;1982-01-04;Тольятти;+79372316454;yakovlev_artur@yandex.ru;Неоконченное высшее;Логист
931;Михайлов Семён Львович;1981-01-23;Ижевск;+79634933614;volkov.savva@inbox.ru;Магистратура;Научный сотрудник
932;Григорьев Герман Тимурович;1985-08-16;Пермь;+79128449211;box81251@inbox.ru;Неоконченное высшее;Фрилансер
933;Волков Никита Кириллович;2005-01-31;Москва;+79095586908;test22598@mail.ru;Среднее;Бариста
934;Соколов Михаил Сергеевич;1982-11-08;Красноярск;+79533336895;ivan5399@yandex.ru;Магистратура;Менеджер по продажам
935;Иванов Илья Романович;1979-07-02;Новосибирск;+79531700873;tech90821@mail.ru;Среднее специальное;Студент последнего курса
936;Николаев Вадим Викторович;1975-08-14;Саратов;+79172643684;work71693@yandex.ru;Неоконченное высшее;Логист
937;Андреев Тимофей Маркелович;1991-10-06;Воронеж;+79915517121;roma29396@mail.ru;Высшее;Дизайнер интерфейсов
938;Калинин Борис Тимофеевич;2006-12-27;Санкт-Петербург;+79508282426;box1207@yandex.ru;Среднее;Сварщик
939;Волков Георгий Маркелович;2006-08-10;Москва;+79651646224;pasha45776@rambler.ru;Высшее;Курьер
940;Егоров Глеб Львович;1997-12-05;Воронеж;+79304382761;stepanov_ilya@rambler.ru;Аспирантура;Дизайнер интерфейсов
941;Андреев Кирилл Михайлович;2002-07-21;Челябинск;+79224201584;soft75057@inbox.ru;Магистратура;Готов к переезду
942;Егоров Вадим Николаевич;2004-09-18;Ростов-на-Дону;+79643457899;temp54243@list.ru;Профессиональное;Системный администратор
943;Лебедев Марк Робертович;2006-08-09;Челябинск;+79824125100;data68527@rambler.ru;Среднее;Научный сотрудник
944;Волков Константин Вадимович;1986-01-14;Тюмень;+79084758048;web30497@gmail.com;Среднее специальное;Маркетолог
945;Николаев Константин Денисович;1974-08-17;Ижевск;+79823862382;alex79889@inbox.ru;Профессиональное;Юрист
946;Кузьмин Борис Константинович;1981-04-26;Нижний Новгород;+79612406239;admin6817@gmail.com;Среднее специальное;Сварщик
947;Романов Семён Саввич;1983-11-19;Новосибирск;+79239711874;roma86526@gmail.com;Аспирантура;Дизайнер интерфейсов
948;Фёдоров Руслан Олегович;2006-10-08;Ижевск;+79829108829;admin55338@gmail.com;Профессиональное;Бухгалтер
949;Новиков Ян Павлович;1995-03-05;Саратов;+79371101859;roma80347@mail.ru;Профессиональное;Студент последнего курса
950;Дмитриев Алексей Филиппович;1972-08-08;Москва;+79164059432;contact47906@mail.ru;Магистратура;Фрилансер
951;Орлов Тарас Денисович;1973-01-21;Уфа;+79374489141;client6733@gmail.com;Профессиональное;Студент последнего курса
952;Сидоров Ян Тимурович;1977-02-28;Ростов-на-Дону;+79619712206;ivan65063@mail.ru;Аспирантура;Исследовательская деятельность
953;Воробьёв Матвей Антонович;2005-10-30;Москва;+79262564466;dev1261@rambler.ru;Высшее;Системный администратор
954;Захаров Павел Тимурович;2003-03-05;Москва;+79251712440;client76667@yandex.ru;Профессиональное;Финансовый аналитик
955;Морозов Евгений Артурович;1996-03-18;Самара;+79378438340;dima55603@rambler.ru;Среднее;Бариста
956;Орлов Павел Павлович;1985-04-20;Челябинск;+79825050347;hard8293@gmail.com;Высшее;Бухгалтер
957;Степанов Глеб Сергеевич;2001-07-10;Пермь;+79925333820;learn10387@yandex.ru;Неоконченное высшее;Опыт работы 2 года
958;Никитин Олег Юрьевич;1971-01-14;Саратов;+79272061865;net71289@rambler.ru;Профессиональное;Юрист
959;Иванов Пётр Павлович;1974-04-16;Тюмень;+79633908476;sokolov_ruslan@list.ru;Магистратура;Ищет работу по специальности
960;Егоров Матвей Олегович;1975-02-24;Новосибирск;+79637996253;nikita51911@rambler.ru;Высшее;Сварщик
961;Сергеев Александр Сергеевич;1973-12-30;Екатеринбург;+79082302029;mail8602@gmail.com;Среднее;Менеджер по продажам
962;Соколов Борис Ильич;1971-01-22;Уфа;+79603448693;serg20571@inbox.ru;Среднее;Маркетолог
963;Степанов Павел Михайлович;2000-01-16;Омск;+79237654958;job57025@inbox.ru;Магистратура;Финансовый аналитик
964;Николаев Тимофей Николаевич;1985-08-27;Саратов;+79172665603;hard57966@mail.ru;Среднее специальное;Научный сотрудник
965;Николаев Руслан Игоревич;1992-07-11;Краснодар;+79891854775;client51432@bk.ru;Магистратура;Системный администратор
966;Васильев Ян Русланович;1987-10-22;Саратов;+79375733853;data43546@list.ru;Высшее;Готов к переезду
967;Филиппов Платон Николаевич;1979-06-08;Краснодар;+79286399415;info53093@rambler.ru;Аспирантура;Финансовый аналитик
968;Кузьмин Алексей Семёнович;2002-04-28;Волгоград;+79191045739;nikita2154@inbox.ru;Магистратура;Менеджер по продажам
969;Семёнов Антон Сергеевич;1975-12-15;Казань;+79171265284;dev61527@rambler.ru;Среднее специальное;Фрилансер
970;Морозов Виктор Тарасович;1990-06-18;Челябинск;+79823950941;web1094@mail.ru;Магистратура;Маркетолог
971;Дмитриев Сергей Андреевич;2006-11-30;Омск;+79513421283;max62884@bk.ru;Среднее специальное;Фрилансер
972;Зайцев Лев Устинович;1993-05-21;Новосибирск;+79239835601;kirill49086@bk.ru;Высшее;Опыт работы 2 года
973;Иванов Степан Платонович;2003-09-03;Воронеж;+79604101743;andrey68775@mail.ru;Магистратура;Автомеханик
974;Орлов Игорь Олегович;1998-11-26;Самара;+79609968573;hard3489@mail.ru;Аспирантура;Сварщик
975;Попов Александр Глебович;1996-01-24;Саратов;+79603755624;dev32711@mail.ru;Профессиональное;Юрист
976;Смирнов Артур Филиппович;1972-01-09;Тольятти;+79872097977;kirill26324@inbox.ru;Среднее;Юрист
977;Михайлов Денис Георгиевич;2004-03-14;Воронеж;+79104925338;temp89332@mail.ru;Магистратура;Дизайнер интерфейсов
978;Воробьёв Семён Маркович;1983-05-20;Воронеж;+79957573571;admin47998@gmail.com;Аспирантура;Разработчик ПО
979;Макаров Матвей Евгеньевич;1978-05-30;Красноярск;+79332856218;pasha21075@list.ru;Среднее специальное;Дизайнер интерфейсов
980;Новиков Никита Андреевич;2002-01-10;Уфа;+79871654214;pasha13408@yandex.ru;Неоконченное высшее;Бухгалтер
981;Яковлев Михаил Николаевич;1996-05-20;Пермь;+79087254732;max41387@gmail.com;Аспирантура;Опыт работы 2 года
982;Медведев Михаил Кириллович;1975-07-15;Москва;+79664294341;nikita38467@rambler.ru;Среднее специальное;Системный администратор
983;Романов Артур Константинович;1992-04-26;Санкт-Петербург;+79606072358;nikita58119@mail.ru;Среднее;Маркетолог
984;Зайцев Лев Алексеевич;1971-10-07;Самара;+79273937535;cloud72791@rambler.ru;Магистратура;Разработчик ПО
985;Калинин Вадим Денисович;1992-12-03;Саратов;+79601595603;data34708@list.ru;Профессиональное;Фрилансер
986;Сидоров Олег Николаевич;1973-10-06;Нижний Новгород;+79615455703;job49828@list.ru;Среднее;Менеджер по продажам
987;Козлов Юрий Михайлович;1979-04-18;Москва;+79156875460;user80643@yandex.ru;Среднее специальное;Автомеханик
988;Попов Виктор Филиппович;1989-02-22;Екатеринбург;+79671945587;andreev.vladimir@list.ru;Высшее;Дизайнер интерфейсов
989;Сергеев Андрей Демидович;2002-06-25;Москва;+79093305283;dima39251@rambler.ru;Общее среднее;Курьер
990;Николаев Игорь Максимович;1981-05-24;Екатеринбург;+79516501678;pasha18082@gmail.com;Магистратура;Юрист
991;Алексеев Михаил Робертович;1976-09-30;Омск;+79236747950;career21742@yandex.ru;Среднее специальное;Опыт работы 2 года
992;Медведев Антон Семёнович;1982-08-24;Красноярск;+79339550893;career64041@rambler.ru;Среднее;Бариста
993;Никитин Кирилл Константинович;2004-09-27;Уфа;+79872596628;ivan2150@list.ru;Профессиональное;Исследовательская деятельность
994;Зайцев Вадим Тимурович;1975-07-13;Тюмень;+79636572931;core88253@gmail.com;Аспирантура;Бухгалтер
995;Васильев Пётр Андреевич;1988-08-25;Екатеринбург;+79672222845;pasha29986@yandex.ru;Неоконченное высшее;Менеджер по продажам
996;Волков Дмитрий Тарасович;1972-06-16;Нижний Новгород;+79102131094;kozlov_markel@gmail.com;Высшее;Сварщик
997;Филиппов Вадим Ильич;2005-05-27;Красноярск;+79931336489;app38163@rambler.ru;Профессиональное;Системный администратор
998;Андреев Александр Петрович;1989-12-14;Воронеж;+79605608490;filippovdmitriy@list.ru;Магистратура;Студент последнего курса
999;Ильин Юрий Антонович;1999-09-14;Уфа;+79875773963;sys49019@gmail.com;Профессиональное;Автомеханик
1000;Никитин Алексей Михайлович;1992-02-14;Воронеж;+79101198532;boris.zakharov@bk.ru;Среднее специальное;Курьер
